,whitelist,STAR.UMIlen,STAR.soloType,kallisto.param
3p_v2,resources/whitelists_TXG/737K-august-2016.txt,10,CB_UMI_Simple,#TODO
3p_v3,resources/whitelists_TXG/3M-february-2018.txt,12,CB_UMI_Simple,#TODO
3p_v3.1,resources/whitelists_TXG/3M-february-2018.txt,12,CB_UMI_Simple,#TODO
5p_v1,resources/whitelists_TXG/737K-august-2016.txt,#TODO,#TODO,#TODO
5p_v2,resources/whitelists_TXG/737K-august-2016.txt,#TODO,#TODO,#TODO
3p_v1,resources/whitelists_TXG/737K-april-2014_rc.txt,#TODO,#TODO,#TODO
